Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Friday 8.1.2021 22:00;1,93;No metering data available for this period;-2,40
Friday 8.1.2021 23:00;1,58;No metering data available for this period;-2,40
Saturday 9.1.2021 00:00;1,42;No metering data available for this period;-2,90
Saturday 9.1.2021 01:00;1,37;No metering data available for this period;-4,00
Saturday 9.1.2021 02:00;1,43;No metering data available for this period;-4,60
Saturday 9.1.2021 03:00;1,89;No metering data available for this period;-4,30
Saturday 9.1.2021 04:00;1,32;No metering data available for this period;-4,40
Saturday 9.1.2021 05:00;1,42;No metering data available for this period;-4,20
Saturday 9.1.2021 06:00;1,42;No metering data available for this period;-3,80
Saturday 9.1.2021 07:00;No metering data available for this period;1,34;-3,60
Saturday 9.1.2021 08:00;No metering data available for this period;2,21;-4,20
Saturday 9.1.2021 09:00;No metering data available for this period;1,69;-4,80
Saturday 9.1.2021 10:00;No metering data available for this period;2,29;-5,10
Saturday 9.1.2021 11:00;No metering data available for this period;1,63;-4,50
Saturday 9.1.2021 12:00;No metering data available for this period;1,71;-4,20
Saturday 9.1.2021 13:00;No metering data available for this period;1,56;-4,50
Saturday 9.1.2021 14:00;No metering data available for this period;2,87;-5,00
Saturday 9.1.2021 15:00;No metering data available for this period;2,39;-4,80
Saturday 9.1.2021 16:00;No metering data available for this period;1,86;-5,10
Saturday 9.1.2021 17:00;No metering data available for this period;2,48;-5,50
Saturday 9.1.2021 18:00;No metering data available for this period;2,42;-6,50
Saturday 9.1.2021 19:00;No metering data available for this period;2,17;-7,30
Saturday 9.1.2021 20:00;No metering data available for this period;1,89;-8,70
Saturday 9.1.2021 21:00;No metering data available for this period;1,69;-9,10
Saturday 9.1.2021 22:00;2,39;No metering data available for this period;-9,70
Saturday 9.1.2021 23:00;1,82;No metering data available for this period;-10,50
Sunday 10.1.2021 00:00;2,15;No metering data available for this period;-11,20
Sunday 10.1.2021 01:00;1,59;No metering data available for this period;-11,80
Sunday 10.1.2021 02:00;1,51;No metering data available for this period;-11,20
Sunday 10.1.2021 03:00;2,15;No metering data available for this period;-9,90
Sunday 10.1.2021 04:00;1,39;No metering data available for this period;-9,10
Sunday 10.1.2021 05:00;1,46;No metering data available for this period;-8,70
Sunday 10.1.2021 06:00;1,46;No metering data available for this period;-8,00
Sunday 10.1.2021 07:00;No metering data available for this period;3,05;-7,60
Sunday 10.1.2021 08:00;No metering data available for this period;2,54;-7,00
Sunday 10.1.2021 09:00;No metering data available for this period;1,73;-6,20
Sunday 10.1.2021 10:00;No metering data available for this period;3,34;-4,90
Sunday 10.1.2021 11:00;No metering data available for this period;1,94;-3,00
Sunday 10.1.2021 12:00;No metering data available for this period;3,97;-2,40
Sunday 10.1.2021 13:00;No metering data available for this period;5,13;-2,00
Sunday 10.1.2021 14:00;No metering data available for this period;3,47;-1,80
Sunday 10.1.2021 15:00;No metering data available for this period;1,74;-1,60
Sunday 10.1.2021 16:00;No metering data available for this period;1,76;-1,70
Sunday 10.1.2021 17:00;No metering data available for this period;1,73;-1,40
Sunday 10.1.2021 18:00;No metering data available for this period;2,33;-1,30
Sunday 10.1.2021 19:00;No metering data available for this period;2,63;-0,60
Sunday 10.1.2021 20:00;No metering data available for this period;1,91;-0,30
Sunday 10.1.2021 21:00;No metering data available for this period;1,72;0,00
Sunday 10.1.2021 22:00;1,75;No metering data available for this period;0,20
Sunday 10.1.2021 23:00;1,20;No metering data available for this period;0,40
Monday 11.1.2021 00:00;1,26;No metering data available for this period;0,40
Monday 11.1.2021 01:00;1,24;No metering data available for this period;0,30
Monday 11.1.2021 02:00;1,24;No metering data available for this period;0,10
Monday 11.1.2021 03:00;1,18;No metering data available for this period;0,10
Monday 11.1.2021 04:00;1,10;No metering data available for this period;0,10
Monday 11.1.2021 05:00;1,20;No metering data available for this period;0,40
Monday 11.1.2021 06:00;1,18;No metering data available for this period;0,30
Monday 11.1.2021 07:00;No metering data available for this period;1,44;0,30
Monday 11.1.2021 08:00;No metering data available for this period;1,89;0,40
Monday 11.1.2021 09:00;No metering data available for this period;2,55;0,50
Monday 11.1.2021 10:00;No metering data available for this period;1,92;0,60
