Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Sunday 16.1.2022 01:00;1,29;No metering data available for this period;-2,90
Sunday 16.1.2022 02:00;1,39;No metering data available for this period;-2,70
Sunday 16.1.2022 03:00;1,36;No metering data available for this period;-2,70
Sunday 16.1.2022 04:00;1,32;No metering data available for this period;-2,70
Sunday 16.1.2022 05:00;1,57;No metering data available for this period;-2,10
Sunday 16.1.2022 06:00;1,63;No metering data available for this period;-1,80
Sunday 16.1.2022 07:00;No metering data available for this period;1,92;-1,70
Sunday 16.1.2022 08:00;No metering data available for this period;1,57;-1,50
Sunday 16.1.2022 09:00;No metering data available for this period;1,59;-0,90
Sunday 16.1.2022 10:00;No metering data available for this period;2,02;0,10
Sunday 16.1.2022 11:00;No metering data available for this period;1,75;0,90
Sunday 16.1.2022 12:00;No metering data available for this period;2,24;1,40
Sunday 16.1.2022 13:00;No metering data available for this period;1,72;2,00
Sunday 16.1.2022 14:00;No metering data available for this period;1,71;2,00
Sunday 16.1.2022 15:00;No metering data available for this period;2,16;2,10
Sunday 16.1.2022 16:00;No metering data available for this period;3,36;2,30
Sunday 16.1.2022 17:00;No metering data available for this period;2,68;2,20
Sunday 16.1.2022 18:00;No metering data available for this period;1,75;2,20
Sunday 16.1.2022 19:00;No metering data available for this period;3,81;2,10
Sunday 16.1.2022 20:00;No metering data available for this period;2,16;1,60
Sunday 16.1.2022 21:00;No metering data available for this period;1,89;1,20
Sunday 16.1.2022 22:00;1,52;No metering data available for this period;0,70
Sunday 16.1.2022 23:00;1,42;No metering data available for this period;0,10
Monday 17.1.2022 00:00;1,92;No metering data available for this period;-0,20
Monday 17.1.2022 01:00;1,54;No metering data available for this period;-0,50
Monday 17.1.2022 02:00;1,49;No metering data available for this period;-0,40
Monday 17.1.2022 03:00;1,43;No metering data available for this period;0,10
Monday 17.1.2022 04:00;1,40;No metering data available for this period;0,40
